Hanzi,Level,WritingLevel,Traditional,Freq,Examples
爱,1,1,愛,20,爱 爱好 爱情 爱人 可爱
八,1,1,八,7,八 八卦 横七竖八 乱七八糟 七嘴八舌
爸,1,1,爸,2,爸爸 爸
吧,1,1,吧,3,吧 酒吧 网吧
白,1,1,白,17,白 白天 明白 白色 白菜
百,1,1,百,8,百 老百姓 百货 百分点 百分比
班,1,2,班,14,班 上班 下班 班长 班级
半,1,1,半,16,半 半年 半天 一半 半夜
帮,1,1,幫,4,帮 帮忙 帮助 帮手
包,1,1,包,19,包 包子 面包 钱包 书包
杯,1,2,杯,5,杯 杯子 干杯 世界杯 奖杯
北,1,1,北,9,北 北边 北京 北方 东北
备,1,1,備,16,准备 设备 具备 配备 预备
本,1,1,本,33,本 本子 课本 笔记本 本来
比,1,1,比,21,比 比如 比如说 比较 比例
边,1,1,邊,33,北边 东边 后边 里边 那边
别,1,1,別/彆,27,别 别的 别人 特别 分别
病,1,1,病,23,病 病人 看病 生病 毛病
不,1,1,不,207,不大 不对 不客气 不用 不
菜,1,1,菜,5,菜 菜单 白菜 蔬菜 菜市场
茶,1,1,茶,7,茶 红茶 绿茶 奶茶 茶叶
差,1,1,差,16,差 差不多 差别 差距 差点儿
常,1,1,常,25,常 常常 非常 常见 常用
场,1,1,場,41,机场 商场 场 广场 球场
唱,1,1,唱,8,唱 唱歌 演唱 演唱会 唱片
车,1,1,車,61,车 车票 车上 车站 打车
吃,1,1,吃,12,吃 吃饭 好吃 吃惊 小吃
出,1,1,出,95,出 出来 出去 出发 出国
穿,1,1,穿,7,穿 穿上 穿过 穿小鞋 穿越
床,1,2,床,5,床 起床 病床 床位 临床
次,1,1,次,19,次 上次 下次 其次 多次
从,1,1,從,23,从 从小 从来 从前 从事
错,1,1,錯,13,错 不错 错误 没错 错过
答,1,1,答,8,回答 答应 答案 报答 答
打,1,1,打,46,打 打车 打电话 打开 打球
大,1,1,大,111,不大 大 大学 大学生 大部分
蛋,1,1,蛋,6,鸡蛋 蛋 蛋糕 笨蛋 蛋白质
到,1,1,到,49,到 得到 回到 看到 来到
道,1,1,道,39,知道 道 道理 道路 味道
得,1,1,得,58,得到 记得 觉得 得 得出
地,1,1,地,67,地 地点 地方 地上 地图
的,1,1,的,15,别的 的 有的 真的 的话
等,1,1,等,12,等 等到 等于 平等 等待
弟,1,2,弟,6,弟弟 弟 兄弟 徒弟 弟子
第,1,1,第,4,第 第二 第一手 第一线
点,1,1,點,42,地点 点 一点儿 点头 观点
电,1,1,電,41,打电话 电 电话 电脑 电视
店,1,1,店,10,饭店 商店 书店 店 酒店
东,1,1,東,12,东 东边 东西 东北 东方
动,1,1,動,75,动 动作 动物 动物园 感动
都,1,1,都,6,都 首都 大都 全都 都市
读,1,2,讀,11,读 读书 读音 读者 阅读
对,1,1,對,37,不对 对 对不起 对话 对面
多,1,1,多,34,多 多少 差不多 大多数 多久
饿,1,1,餓,3,饿 饥饿 忍饥挨饿
儿,1,1,兒,67,儿子 好玩儿 没事儿 面条儿 哪儿
二,1,1,二,9,第二 二 二手 二维码 独一无二
饭,1,1,飯,14,吃饭 饭 饭店 米饭 晚饭
方,1,1,方,41,地方 北方 东方 方便 方便面
房,1,1,房,16,房间 房子 住房 房东 房屋
放,1,1,放,28,放 放假 放学 放下 放心
飞,1,1,飛,11,飞 飞机 起飞 飞行 飞船
非,1,1,非,14,非常 非 除非 并非 非金属
分,1,1,分,58,分 部分 大部分 分开 分数
风,1,2,風,40,风 一路顺风 风险 风格 风景
服,1,1,服,21,衣服 服务 舒服 服装 克服
干,1,1,乾/幹/干,22,干 干净 干什么 干杯 干活儿
高,1,1,高,51,高 高兴 高级 高中 提高
告,1,1,告,21,告诉 广告 报告 告别 转告
哥,1,1,哥,4,哥哥 哥 大哥 帅哥
歌,1,1,歌,20,唱歌 歌 歌迷 歌声 歌手
个,1,1,個,14,个 个子 个人 个性 整个
给,1,1,給,7,给 交给 送给 递给 供给
跟,1,1,跟,7,跟 高跟鞋 跟前 跟随 跟不上
工,1,1,工,39,工人 工作 打工 工厂 工程师
关,1,1,關,32,关 关上 没关系 关机 关心
馆,1,2,館,12,图书馆 饭馆 体育馆 大使馆 旅馆
贵,1,1,貴,11,贵 宝贵 珍贵 昂贵 高贵
国,1,1,國,35,国 国家 国外 外国 中国
果,1,1,果,18,水果 结果 如果 成果 果然
过,1,1,過,51,过 不过 超过 过来 过年
还,1,1,還,9,还 还是 还有 偿还 返还
孩,1,1,孩,4,孩子 男孩儿 女孩儿 小孩儿
汉,1,1,漢,3,汉语 汉字 老汉
好,1,1,好,58,爱好 好 好吃 好看 好听
号,1,1,號,20,号 信号 符号 号码 括号
喝,1,1,喝,3,喝 吃喝玩乐 喝彩
和,1,1,和,19,和 和平 暖和 温和 和谐
很,1,1,很,2,很 很难说
后,1,1,後/后,51,后 后边 后天 最后 后来
候,1,1,候,14,时候 有时候 那时候 小时候 这时候
花,1,1,花,23,花 花园 开花 鲜花 桃花
话,1,1,話,33,打电话 电话 话 说话 的话
坏,1,1,壞,9,坏 坏处 坏人 破坏 好坏
欢,1,1,歡,12,喜欢 欢迎 欢乐 悲欢离合 欢呼
回,1,1,回/迴,33,回 回答 回到 回家 回来
会,1,1,會,56,会 开会 一会儿 不一会儿 机会
火,1,1,火,27,火车 火 着火 火柴 火腿
机,1,1,機,50,电视机 飞机 机场 机票 手机
鸡,1,1,雞,5,鸡蛋 鸡 公鸡 母鸡 鹤立鸡群
几,1,1,幾,4,几 几乎 几率 寥寥无几
记,1,1,記,19,记 记得 记住 忘记 笔记
家,1,1,家/傢,49,国家 回家 家 家里 家人
假,1,1,假,23,放假 请假 假 假期 休假
间,1,1,間,23,房间 间 时间 洗手间 中间
见,1,1,見,40,见 见面 看见 听见 再见
教,1,1,教,26,教 教学楼 教师 教室 教学
叫,1,1,叫,4,叫 叫作 叫板 叫好
觉,1,1,覺,17,觉得 睡觉 感觉 自觉 发觉
姐,1,1,姐,5,姐姐 姐 小姐 大姐 姐妹
介,1,1,介,6,介绍 中介 简介 介入 介意
今,1,1,今,11,今年 今天 今后 至今 如今
进,1,1,進,30,进 进来 进去 请进 进入
京,1,2,京,2,北京 京剧
净,1,1,淨,6,干净 纯净水 净 洁净 净化
九,1,1,九,1,九
就,1,1,就,22,就 就要 早就 成就 就是
开,1,1,開,63,打开 开 开车 开会 开玩笑
看,1,1,看,37,好看 看 看病 看到 看见
考,1,1,考,15,考 考试 考生 考验 参考
渴,1,1,渴,2,渴 渴望
客,1,2,客,21,不客气 顾客 客人 旅客 请客
课,1,1,課,13,课 课本 课文 上课 下课
口,1,1,口,47,口 路口 门口 出口 人口
块,1,1,塊,3,块 一块儿 板块
快,1,1,快,20,快 快餐 快点儿 快乐 快要
来,1,1,來,66,出来 回来 进来 来 来到
老,1,1,老,31,老 老人 老师 老王 老年
了,1,1,了/瞭,23,了 除了 极了 为了 了不起
累,1,1,累,6,累 积累 劳累 累积 累计
冷,1,1,冷,16,冷 寒冷 冷静 冷气 冷水
里,1,1,裡/裏/里,19,家里 里 里边 哪里 那里
两,1,1,兩,8,两 两边 两岸 两侧 两手
零,1,1,零,8,零 零下 零食 孤零零 零花钱
六,1,1,六,2,六 五颜六色
楼,1,1,樓,13,教学楼 楼 楼上 楼下 大楼
路,1,1,路,41,路 路口 路上 马路 走路
妈,1,1,媽,3,妈妈 妈 大妈
马,1,1,馬,12,马路 马上 马 马车 黑马
吗,1,1,嗎,2,吗 干吗
买,1,1,買,5,买 购买 买卖 买不起 收买
慢,1,2,慢,8,慢 慢慢 慢车 傲慢 怠慢
忙,1,1,忙,11,帮忙 忙 连忙 急忙 慌忙
毛,1,2,毛,9,毛 毛病 毛巾 毛衣 毛笔
么,1,1,麼,14,干什么 没什么 什么 怎么 多么
没,1,1,沒,20,没 没关系 没什么 没事儿 没有
妹,1,2,妹,3,妹妹 妹 姐妹
门,1,1,門,24,门 门口 门票 出门 大门
们,1,1,們,9,们 朋友们 你们 他们 她们
米,1,2,米,8,米饭 米 毫米 厘米 玉米
面,1,1,面/麵,62,见面 面包 面条儿 对面 方便面
名,1,1,名,40,名字 有名 报名 名 名称
明,1,1,明,34,明白 明年 明天 明星 说明
拿,1,1,拿,6,拿 拿出 拿到 拿走 拿手
哪,1,1,哪,6,哪 哪里 哪儿 哪些 哪怕
那,1,1,那,11,那 那边 那里 那儿 那些
奶,1,1,奶,7,奶 奶奶 牛奶 奶茶 酸奶
男,1,1,男,9,男 男孩儿 男朋友 男人 男生
南,1,1,南,11,南 南边 东南 南方 西南
难,1,1,難,35,难 难过 难看 难受 难题
脑,1,2,腦,9,电脑 头脑 脑袋 大脑 脑子
呢,1,1,呢,1,呢
能,1,1,能,37,能 可能 能够 只能 才能
你,1,1,你,2,你 你们
年,1,1,年,49,半年 今年 明年 年 去年
您,1,1,您,1,您
牛,1,1,牛,5,牛奶 牛 牛仔裤 奶牛 吹牛
女,1,1,女,21,女 女儿 女孩儿 女朋友 女人
旁,1,1,旁,5,旁边 旁 旁观 袖手旁观 一旁
跑,1,1,跑,10,跑 跑步 逃跑 奔跑 长跑
朋,1,1,朋,8,朋友们 男朋友 女朋友 朋友 小朋友
票,1,1,票,16,车票 机票 门票 票 票价
七,1,1,七,4,七 横七竖八 乱七八糟 七嘴八舌
期,1,1,期,45,日期 星期 星期日 星期天 假期
起,1,1,起,43,对不起 起 起床 起来 一起
气,1,1,氣,65,不客气 生气 天气 空气 气
汽,1,1,汽,4,汽车 公共汽车 汽水 汽油
前,1,1,前,48,前 前边 前天 面前 前年
钱,1,1,錢,16,钱 钱包 价钱 挣钱 金钱
请,1,1,請,14,请 请假 请进 请问 请坐
球,1,1,球,25,打球 球 地球 篮球 排球
去,1,1,去,22,出去 回去 进去 去 去年
热,1,1,熱,26,热 热情 热爱 热烈 热闹
人,1,1,人,142,别人 病人 工人 家人 老人
认,1,1,認,17,认识 认真 认为 否认 认出
日,1,1,日,40,日 日期 生日 星期日 节日
肉,1,1,肉,3,肉 肌肉 烤肉
三,1,1,三,9,三 再三 三明治 接二连三 举一反三
山,1,1,山,21,山 爬山 登山 山区 山峰
商,1,2,商,20,商场 商店 商量 商人 商品
上,1,1,上,87,车上 地上 关上 楼上 路上
少,1,1,少,20,多少 少 不少 青少年 少数
绍,1,1,紹,1,介绍
身,1,1,身,36,身上 身体 全身 身边 身份证
什,1,1,什,5,干什么 没什么 什么 什么样 为什么
生,1,1,生,68,大学生 男生 女生 生病 生气
师,1,1,師,16,老师 教师 工程师 律师 摄影师
十,1,1,十,4,十 十分 十足 十字路口
时,1,1,時,58,时候 时间 小时 有时候 有时
识,1,1,識,15,认识 知识 常识 意识 识
事,1,1,事,57,没事儿 事 故事 好事 事情
试,1,1,試,18,考试 试 试题 试验 测试
视,1,1,視,26,电视 电视机 重视 电视剧 电视台
是,1,1,是,34,还是 是 是不是 但是 可是
手,1,1,手,71,手 手机 洗手间 举手 手表
书,1,1,書,25,读书 书 书包 书店 图书馆
树,1,1,樹,16,树 树林 树叶 松树 桃树
谁,1,1,誰,2,谁 谁知道
水,1,1,水,59,水 水果 水平 药水 凉水
睡,1,1,睡,7,睡 睡觉 午睡 睡着 睡眠
说,1,1,說,52,说 说话 比如说 说明 听说
四,1,1,四,7,四 四周 四处 四合院 四季
送,1,1,送,12,送 送到 送给 发送 赠送
诉,1,1,訴,8,告诉 投诉 起诉 倾诉 上诉
岁,1,1,歲,3,岁 岁月 岁数
他,1,1,他,5,他 他们 其他 吉他 他人
她,1,1,她,2,她 她们
太,1,1,太,11,太 不太 太太 太阳 老太太
体,1,1,體,50,身体 全体 体育 体育场 体育馆
天,1,1,天,54,白天 半天 后天 今天 明天
条,1,2,條,16,面条儿 条 条件 便条 薯条
听,1,1,聽,19,好听 听 听到 听见 听写
同,1,1,同,43,同学 不同 同时 同事 同样
图,1,2,圖,17,地图 图书馆 图片 图 图画
外,1,1,外,59,国外 外 外边 外国 外语
玩,1,1,玩,10,好玩儿 开玩笑 玩儿 玩具 游玩
晚,1,1,晚,17,晚 晚饭 晚上 晚安 晚报
网,1,1,網,15,上网 网上 网友 网 网球
忘,1,1,忘,8,忘 忘记 难忘 废寝忘食 念念不忘
文,1,1,文,28,课文 中文 英文 作文 外文
问,1,1,問,19,请问 问 问路 问题 访问
我,1,1,我,3,我 我们 自我
五,1,1,五,5,五 五颜六色 三番五次 五花八门 五星级
午,1,1,午,7,上午 午饭 下午 中午 午餐
西,1,1,西,15,东西 西 西边 西北 西餐
息,1,1,息,13,休息 信息 消息 利息 出息
习,1,1,習,10,学习 复习 练习 实习 习惯
洗,1,1,洗,9,洗 洗手间 洗衣机 洗澡 清洗
喜,1,1,喜,16,喜欢 喜爱 喜剧 惊喜 恭喜
系,1,1,係/繫/系,8,没关系 关系 联系 系 系列
下,1,1,下,70,楼下 下 下班 下边 下车
先,1,1,先,17,先 先生 领先 首先 先进
现,1,1,現,25,现在 出现 发现 实现 表现
想,1,1,想,30,想 理想 想到 想法 想起
小,1,1,小,47,小 小孩儿 小姐 小朋友 小时
校,1,2,校,4,学校 校园 校长 夜校
笑,1,1,笑,22,开玩笑 笑 笑话 笑话儿 微笑
些,1,1,些,7,哪些 那些 一些 有些 有一些
写,1,1,寫,12,听写 写 写作 抄写 描写
谢,1,1,謝,3,谢谢 感谢 新陈代谢
新,1,1,新,30,新 新年 重新 新闻 创新
星,1,1,星,13,星期 星期日 星期天 明星 星星
行,1,1,行,57,行 不行 进行 举行 流行
兴,1,1,興,14,高兴 感兴趣 兴奋 兴趣 新兴
休,1,1,休,10,休息 休假 退休 休闲 罢休
学,1,1,學,58,大学 大学生 放学 教学楼 上学
样,1,1,樣,23,一样 那样 什么样 同样 样子
要,1,1,要,30,要 重要 不要 就要 快要
爷,1,2,爺,3,爷爷 大爷 姥爷
也,1,1,也,5,也 也许 也好 再也 也就是说
页,1,2,頁,3,页 网页 主页
一,1,1,一,130,一 一半 一会儿 一块儿 一下儿
衣,1,1,衣,14,衣服 大衣 洗衣机 衬衣 上衣
医,1,1,醫,10,医生 医院 西医 中医 医疗
影,1,2,影,18,电影 电影院 影片 影响 影视
用,1,1,用,52,不用 用 有用 常用 使用
友,1,1,友,18,朋友们 男朋友 女朋友 朋友 网友
有,1,1,有,72,还有 没有 有 有的 有名
右,1,2,右,5,右 右边 左右 左顾右盼 座右铭
雨,1,1,雨,10,下雨 雨 雨水 暴风雨 暴雨
语,1,1,語,23,汉语 外语 词语 英语 语言
元,1,2,元,11,元 单元 美元 公元 元旦
远,1,1,遠,18,远 永远 跳远 远处 长远
院,1,1,院,13,电影院 学院 医院 出院 院
月,1,1,月,14,月 月份 月亮 上个月 下个月
再,1,1,再,11,再 再见 一再 再三 再次
在,1,1,在,22,现在 在 在家 正在 实在
早,1,1,早,20,早 早饭 早上 早餐 早晨
怎,1,1,怎,6,怎么 怎么办 怎么样 怎样 不怎么
站,1,1,站,9,车站 站 地铁站 网站 站住
找,1,1,找,5,找 找到 找出 寻找 查找
这,1,1,這,12,这 这边 这里 这儿 这些
着,1,1,著,36,着 接着 睡着 着火 着急
真,1,1,真,22,认真 真 真的 真正 真实
正,1,1,正,28,正 正在 真正 正常 正好
知,1,1,知,24,知道 知识 通知 通知书 知名
中,1,1,中,52,中 中国 中间 中文 中午
重,1,2,重,49,重 重要 重复 重新 重点
住,1,1,住,15,记住 住 站住 住房 住院
准,1,1,準/准,14,准备 准确 标准 批准 准
桌,1,2,桌,3,桌子 书桌 餐桌
子,1,1,子,139,包子 杯子 本子 儿子 房子
字,1,1,字,22,汉字 名字 字 数字 字典
走,1,1,走,17,走 走路 走过 走进 走开
最,1,2,最,7,最 最好 最后 最近 最初
昨,1,1,昨,1,昨天
左,1,2,左,4,左 左边 左右 左顾右盼
作,1,1,作,44,动作 工作 叫作 作家 作文
坐,1,1,坐,5,请坐 坐 坐下 乘坐 坐落
做,1,1,做,9,做 做到 做法 做饭 做客
啊,2,2,啊,1,啊
安,2,2,安,24,安静 安全 平安 晚安 一路平安
般,2,2,般,2,一般 一般来说
板,2,2,板/闆,8,黑板 板 老板 地板 板块
办,2,2,辦,19,办 办法 办公室 怎么办 办理
饱,2,2,飽,3,饱 饱和 饱满
报,2,2,報,29,报名 报纸 日报 晚报 报
背,2,2,背,10,背 背后 背景 背包 背心
笔,2,2,筆,9,笔 笔记 笔记本 钢笔 毛笔
必,2,2,必,14,必须 必然 必要 不必 未必
变,2,2,變,19,变 变成 改变 变化 变为
便,2,2,便,18,方便 方便面 便宜 随便 便利
遍,2,2,遍,4,遍 普遍 遍地 遍布
表,2,2,表/錶,25,表 表示 手表 表达 表格
部,2,2,部,28,部分 大部分 全部 一部分 北部
才,2,1,才,8,才 刚才 才能 人才 天才
参,2,2,參,10,参观 参加 参考 参与 参赛
餐,2,2,餐,16,快餐 晚餐 午餐 西餐 早餐
草,2,2,草,10,草 草地 草原 草案 草坪
层,2,2,層,8,层 层次 层面 高层 层出不穷
查,2,2,查,12,查 检查 调查 查询 查出
长,2,1,長,55,班长 长 队长 家长 市长
超,2,2,超,11,超过 超市 超级 超越 超
晨,2,2,晨,3,早晨 清晨 凌晨
称,2,2,稱,14,称 名称 称为 称赞 称号
成,2,2,成,57,变成 成 成绩 成为 完成
楚,2,2,楚,1,清楚
处,2,2,處,35,到处 好处 坏处 长处 处理
船,2,3,船,13,船 划船 轮船 船员 船长
吹,2,2,吹,4,吹 吹了 吹牛 吹捧
春,2,2,春,5,春节 春天 春季 青春 青春期
词,2,2,詞,6,词 词典 词语 生词 词汇
带,2,2,帶,21,带 带来 带动 带领 带有
单,2,2,單,19,菜单 单位 名单 单元 简单
但,2,1,但,4,不但 但 但是 但愿
当,2,1,當,43,当 当时 当初 当地 当然
倒,2,2,倒,16,倒 倒闭 倒车 倒是 摔倒
灯,2,2,燈,10,灯 灯光 电灯 台灯 灯笼
低,2,2,低,14,低 降低 低于 低头 低温
典,2,2,典,10,词典 字典 典型 经典 辞典
掉,2,2,掉,7,掉 去掉 掉队 掉头 丢掉
定,2,2,定,51,不一定 一定 定期 否定 规定
冬,2,2,冬,2,冬天 冬季
懂,2,2,懂,3,懂 懂得 懂事
度,2,2,度,38,度 角度 态度 温度 程度
短,2,2,短,12,短 短信 短处 短裤 短期
段,2,2,段,8,段 阶段 手段 地段 段落
队,2,2,隊,17,队 队长 排队 球队 队员
而,2,1,而,30,而且 而 而是 反而 然而
发,2,2,發/髮,75,出发 发 发现 头发 发表
法,2,2,法,31,办法 方法 看法 想法 做法
份,2,2,份,6,份 月份 身份证 身份 份额
封,2,3,封,8,封 信封 封闭 封顶 封建
复,2,2,複/覆/復,22,重复 复习 反复 复印 复杂
该,2,1,該,3,该 应该 活该
改,2,2,改,19,改 改变 改进 改造 修改
感,2,2,感,32,感到 感动 感觉 感谢 感冒
刚,2,2,剛,5,刚 刚才 刚刚 刚好 刚毅
更,2,1,更,9,更 更加 更换 更新 变更
公,2,2,公,56,办公室 公共汽车 公交车 公斤 公里
共,2,2,共,16,公共汽车 一共 公共 共同 共有
狗,2,2,狗,1,狗
够,2,2,夠,5,不够 够 能够 足够 够呛
故,2,2,故,9,故事 故意 故乡 事故 故障
顾,2,2,顧,16,顾客 照顾 不顾 顾问 回顾
观,2,2,觀,28,参观 观点 观察 观看 观念
惯,2,2,慣,6,习惯 惯 惯例 惯性 娇惯
广,2,2,廣,10,广场 广告 广播 广大 推广
海,2,2,海,32,大海 海 海边 海关 海水
喊,2,2,喊,2,喊 呐喊
合,2,2,合,46,合适 场合 合 合法 合格
河,2,2,河,4,河 河流 河畔 运河
黑,2,1,黑,10,黑 黑板 黑色 黑暗 黑夜
红,2,2,紅,17,红 红色 红茶 红酒 红包
忽,2,2,忽,6,忽然 忽视 忽略 忽高忽低 忽悠
湖,2,2,湖,2,湖 湖泊
护,2,2,護,16,护照 保护 爱护 护士 维护
划,2,2,劃/划,9,计划 划船 划 规划 划分
画,2,2,畫,20,画 画家 画儿 图画 动画片
换,2,2,換,13,换 交换 更换 转换 变换
黄,2,2,黃,5,黄 黄色 黄瓜 黄金 黄昏
活,2,2,活,18,干活儿 活动 生活 活 活力
或,2,2,或,5,或 或者 或许 或是 或多或少
级,2,2,級,17,高级 级 年级 中级 班级
急,2,2,急,17,急 紧急 急忙 着急 急救
己,2,2,己,4,自己 身不由己 损人利己 知己
计,2,2,計,21,计划 计算机 计算 设计 预计
际,2,2,際,4,国际 实际 实际上 交际
绩,2,2,績,2,成绩 业绩
加,2,2,加,25,参加 加 加油 更加 加工
检,2,2,檢,7,检查 检测 体检 检验 安检
件,2,2,件,16,件 条件 电子邮件 事件 文件
健,2,2,健,7,健康 健身 健全 保健 健美
讲,2,2,講,10,讲 讲话 听讲 讲究 讲座
交,2,2,交,39,公交车 交 交给 交朋友 交通
角,2,2,角,9,角 角度 角色 主角 角落
饺,2,2,餃,1,饺子
脚,2,2,腳,5,脚 脚步 脚印 手脚 指手画脚
